node1,node2,port1,port2
36_31_12,36_31_1,0,11
36_31_13,36_31_1,0,12
36_31_10,36_31_1,0,9
36_31_11,36_31_1,0,10
36_31_16,36_31_1,0,15
36_31_17,36_31_1,0,16
36_31_14,36_31_1,0,13
36_31_15,36_31_1,0,14
36_31_18,36_31_1,0,17
36_31_19,36_31_1,0,18
36_31_30,36_31_1,0,29
36_31_31,36_31_1,0,30
36_31_32,36_31_1,0,31
36_31_33,36_31_1,0,32
36_31_8,36_31_1,0,7
36_31_9,36_31_1,0,8
36_31_2,36_31_1,0,1
36_31_3,36_31_1,0,2
36_31_4,36_31_1,0,3
36_31_5,36_31_1,0,4
36_31_6,36_31_1,0,5
36_31_7,36_31_1,0,6
36_31_29,36_31_1,0,28
36_31_28,36_31_1,0,27
36_31_27,36_31_1,0,26
36_31_26,36_31_1,0,25
36_31_25,36_31_1,0,24
36_31_24,36_31_1,0,23
36_31_23,36_31_1,0,22
36_31_22,36_31_1,0,21
36_31_21,36_31_1,0,20
36_31_20,36_31_1,0,19
30_8_9,30_8_1,0,8
30_8_8,30_8_1,0,7
30_8_7,30_8_1,0,6
30_8_6,30_8_1,0,5
30_8_5,30_8_1,0,4
30_8_4,30_8_1,0,3
30_8_3,30_8_1,0,2
30_8_2,30_8_1,0,1
30_8_26,30_8_1,0,25
30_8_27,30_8_1,0,26
30_8_24,30_8_1,0,23
30_8_25,30_8_1,0,24
30_8_22,30_8_1,0,21
30_8_23,30_8_1,0,22
30_8_20,30_8_1,0,19
30_8_21,30_8_1,0,20
30_8_28,30_8_1,0,27
30_8_29,30_8_1,0,28
30_8_31,30_8_1,0,30
30_8_30,30_8_1,0,29
30_8_33,30_8_1,0,32
30_8_32,30_8_1,0,31
30_8_19,30_8_1,0,18
30_8_18,30_8_1,0,17
30_8_17,30_8_1,0,16
30_8_16,30_8_1,0,15
30_8_15,30_8_1,0,14
30_8_14,30_8_1,0,13
30_8_13,30_8_1,0,12
30_8_12,30_8_1,0,11
30_8_11,30_8_1,0,10
30_8_10,30_8_1,0,9
49_21_32,49_21_1,0,31
49_21_28,49_21_1,0,27
49_21_29,49_21_1,0,28
49_21_24,49_21_1,0,23
49_21_25,49_21_1,0,24
49_21_26,49_21_1,0,25
49_21_27,49_21_1,0,26
49_21_20,49_21_1,0,19
49_21_21,49_21_1,0,20
49_21_22,49_21_1,0,21
49_21_23,49_21_1,0,22
49_21_9,49_21_1,0,8
49_21_8,49_21_1,0,7
49_21_3,49_21_1,0,2
49_21_2,49_21_1,0,1
49_21_5,49_21_1,0,4
49_21_4,49_21_1,0,3
49_21_7,49_21_1,0,6
49_21_6,49_21_1,0,5
49_21_15,49_21_1,0,14
49_21_14,49_21_1,0,13
49_21_17,49_21_1,0,16
49_21_16,49_21_1,0,15
49_21_11,49_21_1,0,10
49_21_10,49_21_1,0,9
49_21_13,49_21_1,0,12
49_21_12,49_21_1,0,11
49_21_33,49_21_1,0,32
49_21_19,49_21_1,0,18
49_21_18,49_21_1,0,17
49_21_31,49_21_1,0,30
49_21_30,49_21_1,0,29
2_27_7,2_27_1,0,6
2_27_6,2_27_1,0,5
2_27_5,2_27_1,0,4
2_27_4,2_27_1,0,3
2_27_3,2_27_1,0,2
2_27_2,2_27_1,0,1
2_27_9,2_27_1,0,8
2_27_8,2_27_1,0,7
2_27_31,2_27_1,0,30
2_27_30,2_27_1,0,29
2_27_33,2_27_1,0,32
2_27_17,2_27_1,0,16
2_27_16,2_27_1,0,15
2_27_15,2_27_1,0,14
2_27_14,2_27_1,0,13
2_27_13,2_27_1,0,12
2_27_12,2_27_1,0,11
2_27_11,2_27_1,0,10
2_27_10,2_27_1,0,9
2_27_19,2_27_1,0,18
2_27_18,2_27_1,0,17
2_27_32,2_27_1,0,31
2_27_28,2_27_1,0,27
2_27_29,2_27_1,0,28
2_27_26,2_27_1,0,25
2_27_27,2_27_1,0,26
2_27_24,2_27_1,0,23
2_27_25,2_27_1,0,24
2_27_22,2_27_1,0,21
2_27_23,2_27_1,0,22
2_27_20,2_27_1,0,19
2_27_21,2_27_1,0,20
20_3_26,20_3_1,0,25
20_3_27,20_3_1,0,26
20_3_24,20_3_1,0,23
20_3_25,20_3_1,0,24
20_3_22,20_3_1,0,21
20_3_23,20_3_1,0,22
20_3_20,20_3_1,0,19
20_3_21,20_3_1,0,20
20_3_28,20_3_1,0,27
20_3_29,20_3_1,0,28
20_3_31,20_3_1,0,30
20_3_30,20_3_1,0,29
20_3_33,20_3_1,0,32
20_3_32,20_3_1,0,31
20_3_19,20_3_1,0,18
20_3_18,20_3_1,0,17
20_3_17,20_3_1,0,16
20_3_16,20_3_1,0,15
20_3_15,20_3_1,0,14
20_3_14,20_3_1,0,13
20_3_13,20_3_1,0,12
20_3_12,20_3_1,0,11
20_3_11,20_3_1,0,10
20_3_10,20_3_1,0,9
20_3_9,20_3_1,0,8
20_3_8,20_3_1,0,7
20_3_7,20_3_1,0,6
20_3_6,20_3_1,0,5
20_3_5,20_3_1,0,4
20_3_4,20_3_1,0,3
20_3_3,20_3_1,0,2
20_3_2,20_3_1,0,1
60_7_31,60_7_1,0,30
60_7_30,60_7_1,0,29
60_7_33,60_7_1,0,32
60_7_32,60_7_1,0,31
60_7_28,60_7_1,0,27
60_7_29,60_7_1,0,28
60_7_26,60_7_1,0,25
60_7_27,60_7_1,0,26
60_7_24,60_7_1,0,23
60_7_25,60_7_1,0,24
60_7_22,60_7_1,0,21
60_7_23,60_7_1,0,22
60_7_20,60_7_1,0,19
60_7_21,60_7_1,0,20
60_7_7,60_7_1,0,6
60_7_6,60_7_1,0,5
