id,ip,layer,mac,dpid
14_12_13,10.14.12.13,3,00:00:00:0e:0c:0d,00000000000e0c0d
14_12_12,10.14.12.12,3,00:00:00:0e:0c:0c,00000000000e0c0c
28_7_3,10.28.7.3,3,00:00:00:1c:07:03,00000000001c0703
28_7_2,10.28.7.2,3,00:00:00:1c:07:02,00000000001c0702
28_7_7,10.28.7.7,3,00:00:00:1c:07:07,00000000001c0707
28_7_6,10.28.7.6,3,00:00:00:1c:07:06,00000000001c0706
28_7_5,10.28.7.5,3,00:00:00:1c:07:05,00000000001c0705
28_7_4,10.28.7.4,3,00:00:00:1c:07:04,00000000001c0704
28_7_9,10.28.7.9,3,00:00:00:1c:07:09,00000000001c0709
28_7_8,10.28.7.8,3,00:00:00:1c:07:08,00000000001c0708
8_12_15,10.8.12.15,3,00:00:00:08:0c:0f,0000000000080c0f
8_12_14,10.8.12.14,3,00:00:00:08:0c:0e,0000000000080c0e
8_12_17,10.8.12.17,3,00:00:00:08:0c:11,0000000000080c11
8_12_16,10.8.12.16,3,00:00:00:08:0c:10,0000000000080c10
8_12_11,10.8.12.11,3,00:00:00:08:0c:0b,0000000000080c0b
8_12_10,10.8.12.10,3,00:00:00:08:0c:0a,0000000000080c0a
8_12_13,10.8.12.13,3,00:00:00:08:0c:0d,0000000000080c0d
8_12_12,10.8.12.12,3,00:00:00:08:0c:0c,0000000000080c0c
14_10_13,10.14.10.13,3,00:00:00:0e:0a:0d,00000000000e0a0d
14_10_12,10.14.10.12,3,00:00:00:0e:0a:0c,00000000000e0a0c
14_10_11,10.14.10.11,3,00:00:00:0e:0a:0b,00000000000e0a0b
14_10_10,10.14.10.10,3,00:00:00:0e:0a:0a,00000000000e0a0a
14_10_17,10.14.10.17,3,00:00:00:0e:0a:11,00000000000e0a11
14_10_16,10.14.10.16,3,00:00:00:0e:0a:10,00000000000e0a10
14_10_15,10.14.10.15,3,00:00:00:0e:0a:0f,00000000000e0a0f
14_10_14,10.14.10.14,3,00:00:00:0e:0a:0e,00000000000e0a0e
22_7_3,10.22.7.3,3,00:00:00:16:07:03,0000000000160703
22_7_2,10.22.7.2,3,00:00:00:16:07:02,0000000000160702
22_7_5,10.22.7.5,3,00:00:00:16:07:05,0000000000160705
22_7_4,10.22.7.4,3,00:00:00:16:07:04,0000000000160704
22_7_7,10.22.7.7,3,00:00:00:16:07:07,0000000000160707
22_7_6,10.22.7.6,3,00:00:00:16:07:06,0000000000160706
28_11_9,10.28.11.9,3,00:00:00:1c:0b:09,00000000001c0b09
28_11_8,10.28.11.8,3,00:00:00:1c:0b:08,00000000001c0b08
28_11_5,10.28.11.5,3,00:00:00:1c:0b:05,00000000001c0b05
28_11_4,10.28.11.4,3,00:00:00:1c:0b:04,00000000001c0b04
28_11_7,10.28.11.7,3,00:00:00:1c:0b:07,00000000001c0b07
28_11_6,10.28.11.6,3,00:00:00:1c:0b:06,00000000001c0b06
28_11_3,10.28.11.3,3,00:00:00:1c:0b:03,00000000001c0b03
28_11_2,10.28.11.2,3,00:00:00:1c:0b:02,00000000001c0b02
3_2_12,10.3.2.12,3,00:00:00:03:02:0c,000000000003020c
3_2_13,10.3.2.13,3,00:00:00:03:02:0d,000000000003020d
11_12_10,10.11.12.10,3,00:00:00:0b:0c:0a,00000000000b0c0a
11_12_11,10.11.12.11,3,00:00:00:0b:0c:0b,00000000000b0c0b
11_12_12,10.11.12.12,3,00:00:00:0b:0c:0c,00000000000b0c0c
11_12_13,10.11.12.13,3,00:00:00:0b:0c:0d,00000000000b0c0d
11_12_14,10.11.12.14,3,00:00:00:0b:0c:0e,00000000000b0c0e
11_12_15,10.11.12.15,3,00:00:00:0b:0c:0f,00000000000b0c0f
11_12_16,10.11.12.16,3,00:00:00:0b:0c:10,00000000000b0c10
11_12_17,10.11.12.17,3,00:00:00:0b:0c:11,00000000000b0c11
3_2_11,10.3.2.11,3,00:00:00:03:02:0b,000000000003020b
20_3_9,10.20.3.9,3,00:00:00:14:03:09,0000000000140309
20_3_8,10.20.3.8,3,00:00:00:14:03:08,0000000000140308
20_3_7,10.20.3.7,3,00:00:00:14:03:07,0000000000140307
20_3_6,10.20.3.6,3,00:00:00:14:03:06,0000000000140306
20_3_5,10.20.3.5,3,00:00:00:14:03:05,0000000000140305
20_3_4,10.20.3.4,3,00:00:00:14:03:04,0000000000140304
20_3_3,10.20.3.3,3,00:00:00:14:03:03,0000000000140303
20_3_2,10.20.3.2,3,00:00:00:14:03:02,0000000000140302
2_8_2,10.2.8.2,3,00:00:00:02:08:02,0000000000020802
0_14_9,10.0.14.9,3,00:00:00:00:0e:09,0000000000000e09
0_14_8,10.0.14.8,3,00:00:00:00:0e:08,0000000000000e08
0_14_3,10.0.14.3,3,00:00:00:00:0e:03,0000000000000e03
0_14_2,10.0.14.2,3,00:00:00:00:0e:02,0000000000000e02
0_14_7,10.0.14.7,3,00:00:00:00:0e:07,0000000000000e07
0_14_6,10.0.14.6,3,00:00:00:00:0e:06,0000000000000e06
0_14_5,10.0.14.5,3,00:00:00:00:0e:05,0000000000000e05
0_14_4,10.0.14.4,3,00:00:00:00:0e:04,0000000000000e04
11_14_16,10.11.14.16,3,00:00:00:0b:0e:10,00000000000b0e10
11_14_17,10.11.14.17,3,00:00:00:0b:0e:11,00000000000b0e11
11_14_14,10.11.14.14,3,00:00:00:0b:0e:0e,00000000000b0e0e
11_14_15,10.11.14.15,3,00:00:00:0b:0e:0f,00000000000b0e0f
11_14_12,10.11.14.12,3,00:00:00:0b:0e:0c,00000000000b0e0c
11_14_13,10.11.14.13,3,00:00:00:0b:0e:0d,00000000000b0e0d
11_14_10,10.11.14.10,3,00:00:00:0b:0e:0a,00000000000b0e0a
11_14_11,10.11.14.11,3,00:00:00:0b:0e:0b,00000000000b0e0b
11_7_9,10.11.7.9,3,00:00:00:0b:07:09,00000000000b0709
11_7_8,10.11.7.8,3,00:00:00:0b:07:08,00000000000b0708
26_6_8,10.26.6.8,3,00:00:00:1a:06:08,00000000001a0608
26_6_9,10.26.6.9,3,00:00:00:1a:06:09,00000000001a0609
26_6_4,10.26.6.4,3,00:00:00:1a:06:04,00000000001a0604
26_6_5,10.26.6.5,3,00:00:00:1a:06:05,00000000001a0605
26_6_6,10.26.6.6,3,00:00:00:1a:06:06,00000000001a0606
26_6_7,10.26.6.7,3,00:00:00:1a:06:07,00000000001a0607
26_6_2,10.26.6.2,3,00:00:00:1a:06:02,00000000001a0602
26_6_3,10.26.6.3,3,00:00:00:1a:06:03,00000000001a0603
31_2_3,10.31.2.3,3,00:00:00:1f:02:03,00000000001f0203
24_3_15,10.24.3.15,3,00:00:00:18:03:0f,000000000018030f
14_14_17,10.14.14.17,3,00:00:00:0e:0e:11,00000000000e0e11
14_14_16,10.14.14.16,3,00:00:00:0e:0e:10,00000000000e0e10
14_14_15,10.14.14.15,3,00:00:00:0e:0e:0f,00000000000e0e0f
14_14_14,10.14.14.14,3,00:00:00:0e:0e:0e,00000000000e0e0e
14_14_13,10.14.14.13,3,00:00:00:0e:0e:0d,00000000000e0e0d
14_14_12,10.14.14.12,3,00:00:00:0e:0e:0c,00000000000e0e0c
14_14_11,10.14.14.11,3,00:00:00:0e:0e:0b,00000000000e0e0b
14_14_10,10.14.14.10,3,00:00:00:0e:0e:0a,00000000000e0e0a
24_3_3,10.24.3.3,3,00:00:00:18:03:03,0000000000180303
24_3_2,10.24.3.2,3,00:00:00:18:03:02,0000000000180302
24_3_7,10.24.3.7,3,00:00:00:18:03:07,0000000000180307
24_3_6,10.24.3.6,3,00:00:00:18:03:06,0000000000180306
24_3_5,10.24.3.5,3,00:00:00:18:03:05,0000000000180305
24_3_4,10.24.3.4,3,00:00:00:18:03:04,0000000000180304
6_0_13,10.6.0.13,3,00:00:00:06:00:0d,000000000006000d
6_0_12,10.6.0.12,3,00:00:00:06:00:0c,000000000006000c
6_0_11,10.6.0.11,3,00:00:00:06:00:0b,000000000006000b
6_0_10,10.6.0.10,3,00:00:00:06:00:0a,000000000006000a
6_0_17,10.6.0.17,3,00:00:00:06:00:11,0000000000060011
6_0_16,10.6.0.16,3,00:00:00:06:00:10,0000000000060010
6_0_15,10.6.0.15,3,00:00:00:06:00:0f,000000000006000f
6_0_14,10.6.0.14,3,00:00:00:06:00:0e,000000000006000e
30_2_15,10.30.2.15,3,00:00:00:1e:02:0f,00000000001e020f
30_2_14,10.30.2.14,3,00:00:00:1e:02:0e,00000000001e020e
30_2_17,10.30.2.17,3,00:00:00:1e:02:11,00000000001e0211
30_2_16,10.30.2.16,3,00:00:00:1e:02:10,00000000001e0210
30_2_11,10.30.2.11,3,00:00:00:1e:02:0b,00000000001e020b
30_2_10,10.30.2.10,3,00:00:00:1e:02:0a,00000000001e020a
30_2_13,10.30.2.13,3,00:00:00:1e:02:0d,00000000001e020d
30_2_12,10.30.2.12,3,00:00:00:1e:02:0c,00000000001e020c
31_13_3,10.31.13.3,3,00:00:00:1f:0d:03,00000000001f0d03
31_13_2,10.31.13.2,3,00:00:00:1f:0d:02,00000000001f0d02
31_13_5,10.31.13.5,3,00:00:00:1f:0d:05,00000000001f0d05
31_13_4,10.31.13.4,3,00:00:00:1f:0d:04,00000000001f0d04
31_13_7,10.31.13.7,3,00:00:00:1f:0d:07,00000000001f0d07
31_13_6,10.31.13.6,3,00:00:00:1f:0d:06,00000000001f0d06
31_13_9,10.31.13.9,3,00:00:00:1f:0d:09,00000000001f0d09
31_13_8,10.31.13.8,3,00:00:00:1f:0d:08,00000000001f0d08
29_9_2,10.29.9.2,3,00:00:00:1d:09:02,00000000001d0902
29_9_3,10.29.9.3,3,00:00:00:1d:09:03,00000000001d0903
29_9_4,10.29.9.4,3,00:00:00:1d:09:04,00000000001d0904
29_9_5,10.29.9.5,3,00:00:00:1d:09:05,00000000001d0905
29_9_6,10.29.9.6,3,00:00:00:1d:09:06,00000000001d0906
29_9_7,10.29.9.7,3,00:00:00:1d:09:07,00000000001d0907
29_9_8,10.29.9.8,3,00:00:00:1d:09:08,00000000001d0908
29_9_9,10.29.9.9,3,00:00:00:1d:09:09,00000000001d0909
23_11_4,10.23.11.4,3,00:00:00:17:0b:04,0000000000170b04
23_11_5,10.23.11.5,3,00:00:00:17:0b:05,0000000000170b05
17_13_9,10.17.13.9,3,00:00:00:11:0d:09,0000000000110d09
17_13_8,10.17.13.8,3,00:00:00:11:0d:08,0000000000110d08
17_13_5,10.17.13.5,3,00:00:00:11:0d:05,0000000000110d05
17_13_4,10.17.13.4,3,00:00:00:11:0d:04,0000000000110d04
17_13_7,10.17.13.7,3,00:00:00:11:0d:07,0000000000110d07
17_13_6,10.17.13.6,3,00:00:00:11:0d:06,0000000000110d06
17_13_3,10.17.13.3,3,00:00:00:11:0d:03,0000000000110d03
17_13_2,10.17.13.2,3,00:00:00:11:0d:02,0000000000110d02
23_11_2,10.23.11.2,3,00:00:00:17:0b:02,0000000000170b02
23_11_3,10.23.11.3,3,00:00:00:17:0b:03,0000000000170b03
17_6_12,10.17.6.12,3,00:00:00:11:06:0c,000000000011060c
17_6_13,10.17.6.13,3,00:00:00:11:06:0d,000000000011060d
17_6_10,10.17.6.10,3,00:00:00:11:06:0a,000000000011060a
17_6_11,10.17.6.11,3,00:00:00:11:06:0b,000000000011060b
17_6_16,10.17.6.16,3,00:00:00:11:06:10,0000000000110610
17_6_17,10.17.6.17,3,00:00:00:11:06:11,0000000000110611
17_6_14,10.17.6.14,3,00:00:00:11:06:0e,000000000011060e
17_6_15,10.17.6.15,3,00:00:00:11:06:0f,000000000011060f
17_14_10,10.17.14.10,3,00:00:00:11:0e:0a,0000000000110e0a
17_14_11,10.17.14.11,3,00:00:00:11:0e:0b,0000000000110e0b
17_14_12,10.17.14.12,3,00:00:00:11:0e:0c,0000000000110e0c
17_14_13,10.17.14.13,3,00:00:00:11:0e:0d,0000000000110e0d
17_14_14,10.17.14.14,3,00:00:00:11:0e:0e,0000000000110e0e
17_14_15,10.17.14.15,3,00:00:00:11:0e:0f,0000000000110e0f
17_14_16,10.17.14.16,3,00:00:00:11:0e:10,0000000000110e10
17_14_17,10.17.14.17,3,00:00:00:11:0e:11,0000000000110e11
4_11_4,10.4.11.4,3,00:00:00:04:0b:04,0000000000040b04
9_6_6,10.9.6.6,3,00:00:00:09:06:06,0000000000090606
9_6_7,10.9.6.7,3,00:00:00:09:06:07,0000000000090607
9_6_4,10.9.6.4,3,00:00:00:09:06:04,0000000000090604
9_6_5,10.9.6.5,3,00:00:00:09:06:05,0000000000090605
9_6_2,10.9.6.2,3,00:00:00:09:06:02,0000000000090602
9_6_3,10.9.6.3,3,00:00:00:09:06:03,0000000000090603
9_6_8,10.9.6.8,3,00:00:00:09:06:08,0000000000090608
9_6_9,10.9.6.9,3,00:00:00:09:06:09,0000000000090609
17_12_4,10.17.12.4,3,00:00:00:11:0c:04,0000000000110c04
17_12_5,10.17.12.5,3,00:00:00:11:0c:05,0000000000110c05
17_12_6,10.17.12.6,3,00:00:00:11:0c:06,0000000000110c06
17_12_7,10.17.12.7,3,00:00:00:11:0c:07,0000000000110c07
29_8_15,10.29.8.15,3,00:00:00:1d:08:0f,00000000001d080f
29_8_14,10.29.8.14,3,00:00:00:1d:08:0e,00000000001d080e
29_8_17,10.29.8.17,3,00:00:00:1d:08:11,00000000001d0811
29_8_16,10.29.8.16,3,00:00:00:1d:08:10,00000000001d0810
29_8_11,10.29.8.11,3,00:00:00:1d:08:0b,00000000001d080b
29_8_10,10.29.8.10,3,00:00:00:1d:08:0a,00000000001d080a
29_8_13,10.29.8.13,3,00:00:00:1d:08:0d,00000000001d080d
29_8_12,10.29.8.12,3,00:00:00:1d:08:0c,00000000001d080c
19_6_14,10.19.6.14,3,00:00:00:13:06:0e,000000000013060e
4_14_16,10.4.14.16,3,00:00:00:04:0e:10,0000000000040e10
19_6_16,10.19.6.16,3,00:00:00:13:06:10,0000000000130610
19_6_17,10.19.6.17,3,00:00:00:13:06:11,0000000000130611
4_14_13,10.4.14.13,3,00:00:00:04:0e:0d,0000000000040e0d
17_12_2,10.17.12.2,3,00:00:00:11:0c:02,0000000000110c02
4_14_11,10.4.14.11,3,00:00:00:04:0e:0b,0000000000040e0b
4_14_10,10.4.14.10,3,00:00:00:04:0e:0a,0000000000040e0a
17_12_3,10.17.12.3,3,00:00:00:11:0c:03,0000000000110c03
6_14_15,10.6.14.15,3,00:00:00:06:0e:0f,0000000000060e0f
6_14_14,10.6.14.14,3,00:00:00:06:0e:0e,0000000000060e0e
6_14_17,10.6.14.17,3,00:00:00:06:0e:11,0000000000060e11
6_14_16,10.6.14.16,3,00:00:00:06:0e:10,0000000000060e10
1_0_8,10.1.0.8,3,00:00:00:01:00:08,0000000000010008
1_0_9,10.1.0.9,3,00:00:00:01:00:09,0000000000010009
6_14_13,10.6.14.13,3,00:00:00:06:0e:0d,0000000000060e0d
6_14_12,10.6.14.12,3,00:00:00:06:0e:0c,0000000000060e0c
1_0_4,10.1.0.4,3,00:00:00:01:00:04,0000000000010004
1_0_5,10.1.0.5,3,00:00:00:01:00:05,0000000000010005
1_0_6,10.1.0.6,3,00:00:00:01:00:06,0000000000010006
1_0_7,10.1.0.7,3,00:00:00:01:00:07,0000000000010007
1_0_2,10.1.0.2,3,00:00:00:01:00:02,0000000000010002
1_0_3,10.1.0.3,3,00:00:00:01:00:03,0000000000010003
1_11_9,10.1.11.9,3,00:00:00:01:0b:09,0000000000010b09
1_11_8,10.1.11.8,3,00:00:00:01:0b:08,0000000000010b08
18_7_2,10.18.7.2,3,00:00:00:12:07:02,0000000000120702
1_11_3,10.1.11.3,3,00:00:00:01:0b:03,0000000000010b03
1_11_2,10.1.11.2,3,00:00:00:01:0b:02,0000000000010b02
1_11_5,10.1.11.5,3,00:00:00:01:0b:05,0000000000010b05
1_11_4,10.1.11.4,3,00:00:00:01:0b:04,0000000000010b04
1_11_7,10.1.11.7,3,00:00:00:01:0b:07,0000000000010b07
1_11_6,10.1.11.6,3,00:00:00:01:0b:06,0000000000010b06
10_2_13,10.10.2.13,3,00:00:00:0a:02:0d,00000000000a020d
10_2_12,10.10.2.12,3,00:00:00:0a:02:0c,00000000000a020c
10_2_11,10.10.2.11,3,00:00:00:0a:02:0b,00000000000a020b
10_2_10,10.10.2.10,3,00:00:00:0a:02:0a,00000000000a020a
10_2_17,10.10.2.17,3,00:00:00:0a:02:11,00000000000a0211
10_2_16,10.10.2.16,3,00:00:00:0a:02:10,00000000000a0210
10_2_15,10.10.2.15,3,00:00:00:0a:02:0f,00000000000a020f
10_2_14,10.10.2.14,3,00:00:00:0a:02:0e,00000000000a020e
29_0_3,10.29.0.3,3,00:00:00:1d:00:03,00000000001d0003
29_0_2,10.29.0.2,3,00:00:00:1d:00:02,00000000001d0002
29_0_5,10.29.0.5,3,00:00:00:1d:00:05,00000000001d0005
29_0_4,10.29.0.4,3,00:00:00:1d:00:04,00000000001d0004
29_0_7,10.29.0.7,3,00:00:00:1d:00:07,00000000001d0007
29_0_6,10.29.0.6,3,00:00:00:1d:00:06,00000000001d0006
29_0_9,10.29.0.9,3,00:00:00:1d:00:09,00000000001d0009
29_0_8,10.29.0.8,3,00:00:00:1d:00:08,00000000001d0008
20_4_12,10.20.4.12,3,00:00:00:14:04:0c,000000000014040c
20_4_13,10.20.4.13,3,00:00:00:14:04:0d,000000000014040d
27_12_9,10.27.12.9,3,00:00:00:1b:0c:09,00000000001b0c09
27_12_8,10.27.12.8,3,00:00:00:1b:0c:08,00000000001b0c08
27_12_7,10.27.12.7,3,00:00:00:1b:0c:07,00000000001b0c07
27_12_6,10.27.12.6,3,00:00:00:1b:0c:06,00000000001b0c06
27_12_5,10.27.12.5,3,00:00:00:1b:0c:05,00000000001b0c05
27_12_4,10.27.12.4,3,00:00:00:1b:0c:04,00000000001b0c04
27_12_3,10.27.12.3,3,00:00:00:1b:0c:03,00000000001b0c03
27_12_2,10.27.12.2,3,00:00:00:1b:0c:02,00000000001b0c02
4_12_11,10.4.12.11,3,00:00:00:04:0c:0b,0000000000040c0b
4_12_10,10.4.12.10,3,00:00:00:04:0c:0a,0000000000040c0a
4_12_13,10.4.12.13,3,00:00:00:04:0c:0d,0000000000040c0d
4_12_12,10.4.12.12,3,00:00:00:04:0c:0c,0000000000040c0c
4_12_15,10.4.12.15,3,00:00:00:04:0c:0f,0000000000040c0f
4_12_14,10.4.12.14,3,00:00:00:04:0c:0e,0000000000040c0e
4_12_17,10.4.12.17,3,00:00:00:04:0c:11,0000000000040c11
4_12_16,10.4.12.16,3,00:00:00:04:0c:10,0000000000040c10
19_0_16,10.19.0.16,3,00:00:00:13:00:10,0000000000130010
19_0_17,10.19.0.17,3,00:00:00:13:00:11,0000000000130011
19_0_14,10.19.0.14,3,00:00:00:13:00:0e,000000000013000e
19_0_15,10.19.0.15,3,00:00:00:13:00:0f,000000000013000f
19_0_12,10.19.0.12,3,00:00:00:13:00:0c,000000000013000c
19_0_13,10.19.0.13,3,00:00:00:13:00:0d,000000000013000d
19_0_10,10.19.0.10,3,00:00:00:13:00:0a,000000000013000a
19_0_11,10.19.0.11,3,00:00:00:13:00:0b,000000000013000b
3_9_2,10.3.9.2,3,00:00:00:03:09:02,0000000000030902
30_7_4,10.30.7.4,3,00:00:00:1e:07:04,00000000001e0704
30_7_5,10.30.7.5,3,00:00:00:1e:07:05,00000000001e0705
30_7_6,10.30.7.6,3,00:00:00:1e:07:06,00000000001e0706
30_7_7,10.30.7.7,3,00:00:00:1e:07:07,00000000001e0707
0_3_9,10.0.3.9,3,00:00:00:00:03:09,0000000000000309
30_7_2,10.30.7.2,3,00:00:00:1e:07:02,00000000001e0702
6_10_11,10.6.10.11,3,00:00:00:06:0a:0b,0000000000060a0b
6_10_10,10.6.10.10,3,00:00:00:06:0a:0a,0000000000060a0a
6_10_13,10.6.10.13,3,00:00:00:06:0a:0d,0000000000060a0d
6_10_12,10.6.10.12,3,00:00:00:06:0a:0c,0000000000060a0c
6_10_15,10.6.10.15,3,00:00:00:06:0a:0f,0000000000060a0f
6_10_14,10.6.10.14,3,00:00:00:06:0a:0e,0000000000060a0e
6_10_17,10.6.10.17,3,00:00:00:06:0a:11,0000000000060a11
6_10_16,10.6.10.16,3,00:00:00:06:0a:10,0000000000060a10
6_12_13,10.6.12.13,3,00:00:00:06:0c:0d,0000000000060c0d
6_12_12,10.6.12.12,3,00:00:00:06:0c:0c,0000000000060c0c
6_12_11,10.6.12.11,3,00:00:00:06:0c:0b,0000000000060c0b
6_12_10,10.6.12.10,3,00:00:00:06:0c:0a,0000000000060c0a
6_12_17,10.6.12.17,3,00:00:00:06:0c:11,0000000000060c11
6_12_16,10.6.12.16,3,00:00:00:06:0c:10,0000000000060c10
6_12_15,10.6.12.15,3,00:00:00:06:0c:0f,0000000000060c0f
6_12_14,10.6.12.14,3,00:00:00:06:0c:0e,0000000000060c0e
6_3_8,10.6.3.8,3,00:00:00:06:03:08,0000000000060308
6_3_9,10.6.3.9,3,00:00:00:06:03:09,0000000000060309
6_3_4,10.6.3.4,3,00:00:00:06:03:04,0000000000060304
6_3_5,10.6.3.5,3,00:00:00:06:03:05,0000000000060305
6_3_6,10.6.3.6,3,00:00:00:06:03:06,0000000000060306
6_3_7,10.6.3.7,3,00:00:00:06:03:07,0000000000060307
6_3_2,10.6.3.2,3,00:00:00:06:03:02,0000000000060302
6_3_3,10.6.3.3,3,00:00:00:06:03:03,0000000000060303
30_14_5,10.30.14.5,3,00:00:00:1e:0e:05,00000000001e0e05
30_14_4,10.30.14.4,3,00:00:00:1e:0e:04,00000000001e0e04
30_14_7,10.30.14.7,3,00:00:00:1e:0e:07,00000000001e0e07
30_14_6,10.30.14.6,3,00:00:00:1e:0e:06,00000000001e0e06
30_14_3,10.30.14.3,3,00:00:00:1e:0e:03,00000000001e0e03
30_14_2,10.30.14.2,3,00:00:00:1e:0e:02,00000000001e0e02
30_14_9,10.30.14.9,3,00:00:00:1e:0e:09,00000000001e0e09
30_14_8,10.30.14.8,3,00:00:00:1e:0e:08,00000000001e0e08
30_3_2,10.30.3.2,3,00:00:00:1e:03:02,00000000001e0302
30_3_3,10.30.3.3,3,00:00:00:1e:03:03,00000000001e0303
30_3_4,10.30.3.4,3,00:00:00:1e:03:04,00000000001e0304
30_3_5,10.30.3.5,3,00:00:00:1e:03:05,00000000001e0305
30_3_6,10.30.3.6,3,00:00:00:1e:03:06,00000000001e0306
30_3_7,10.30.3.7,3,00:00:00:1e:03:07,00000000001e0307
12_14_9,10.12.14.9,3,00:00:00:0c:0e:09,00000000000c0e09
12_14_8,10.12.14.8,3,00:00:00:0c:0e:08,00000000000c0e08
12_14_5,10.12.14.5,3,00:00:00:0c:0e:05,00000000000c0e05
12_14_4,10.12.14.4,3,00:00:00:0c:0e:04,00000000000c0e04
12_14_7,10.12.14.7,3,00:00:00:0c:0e:07,00000000000c0e07
12_14_6,10.12.14.6,3,00:00:00:0c:0e:06,00000000000c0e06
12_14_3,10.12.14.3,3,00:00:00:0c:0e:03,00000000000c0e03
12_14_2,10.12.14.2,3,00:00:00:0c:0e:02,00000000000c0e02
19_5_15,10.19.5.15,3,00:00:00:13:05:0f,000000000013050f
19_5_14,10.19.5.14,3,00:00:00:13:05:0e,000000000013050e
19_5_17,10.19.5.17,3,00:00:00:13:05:11,0000000000130511
19_5_16,10.19.5.16,3,00:00:00:13:05:10,0000000000130510
19_5_11,10.19.5.11,3,00:00:00:13:05:0b,000000000013050b
19_5_10,10.19.5.10,3,00:00:00:13:05:0a,000000000013050a
19_5_13,10.19.5.13,3,00:00:00:13:05:0d,000000000013050d
19_5_12,10.19.5.12,3,00:00:00:13:05:0c,000000000013050c
27_9_14,10.27.9.14,3,00:00:00:1b:09:0e,00000000001b090e
27_9_15,10.27.9.15,3,00:00:00:1b:09:0f,00000000001b090f
27_9_16,10.27.9.16,3,00:00:00:1b:09:10,00000000001b0910
27_9_17,10.27.9.17,3,00:00:00:1b:09:11,00000000001b0911
27_9_10,10.27.9.10,3,00:00:00:1b:09:0a,00000000001b090a
27_9_11,10.27.9.11,3,00:00:00:1b:09:0b,00000000001b090b
27_9_12,10.27.9.12,3,00:00:00:1b:09:0c,00000000001b090c
27_9_13,10.27.9.13,3,00:00:00:1b:09:0d,00000000001b090d
21_4_11,10.21.4.11,3,00:00:00:15:04:0b,000000000015040b
21_4_10,10.21.4.10,3,00:00:00:15:04:0a,000000000015040a
21_4_13,10.21.4.13,3,00:00:00:15:04:0d,000000000015040d
21_4_12,10.21.4.12,3,00:00:00:15:04:0c,000000000015040c
21_4_15,10.21.4.15,3,00:00:00:15:04:0f,000000000015040f
21_4_14,10.21.4.14,3,00:00:00:15:04:0e,000000000015040e
21_4_17,10.21.4.17,3,00:00:00:15:04:11,0000000000150411
