id,ip,layer,mac,dpid
30_8_9,10.30.8.9,3,00:00:00:1e:08:09,00000000001e0809
30_8_8,10.30.8.8,3,00:00:00:1e:08:08,00000000001e0808
30_8_7,10.30.8.7,3,00:00:00:1e:08:07,00000000001e0807
30_8_6,10.30.8.6,3,00:00:00:1e:08:06,00000000001e0806
30_8_5,10.30.8.5,3,00:00:00:1e:08:05,00000000001e0805
30_8_4,10.30.8.4,3,00:00:00:1e:08:04,00000000001e0804
30_8_3,10.30.8.3,3,00:00:00:1e:08:03,00000000001e0803
30_8_2,10.30.8.2,3,00:00:00:1e:08:02,00000000001e0802
31_0_15,10.31.0.15,3,00:00:00:1f:00:0f,00000000001f000f
19_3_13,10.19.3.13,3,00:00:00:13:03:0d,000000000013030d
19_3_12,10.19.3.12,3,00:00:00:13:03:0c,000000000013030c
19_3_11,10.19.3.11,3,00:00:00:13:03:0b,000000000013030b
19_3_10,10.19.3.10,3,00:00:00:13:03:0a,000000000013030a
19_3_17,10.19.3.17,3,00:00:00:13:03:11,0000000000130311
19_3_16,10.19.3.16,3,00:00:00:13:03:10,0000000000130310
19_3_15,10.19.3.15,3,00:00:00:13:03:0f,000000000013030f
19_3_14,10.19.3.14,3,00:00:00:13:03:0e,000000000013030e
21_7_2,10.21.7.2,3,00:00:00:15:07:02,0000000000150702
21_7_3,10.21.7.3,3,00:00:00:15:07:03,0000000000150703
31_12_16,10.31.12.16,3,00:00:00:1f:0c:10,00000000001f0c10
31_12_17,10.31.12.17,3,00:00:00:1f:0c:11,00000000001f0c11
21_7_6,10.21.7.6,3,00:00:00:15:07:06,0000000000150706
21_7_7,10.21.7.7,3,00:00:00:15:07:07,0000000000150707
14_2_17,10.14.2.17,3,00:00:00:0e:02:11,00000000000e0211
14_2_16,10.14.2.16,3,00:00:00:0e:02:10,00000000000e0210
14_2_15,10.14.2.15,3,00:00:00:0e:02:0f,00000000000e020f
14_2_14,10.14.2.14,3,00:00:00:0e:02:0e,00000000000e020e
14_2_13,10.14.2.13,3,00:00:00:0e:02:0d,00000000000e020d
14_2_12,10.14.2.12,3,00:00:00:0e:02:0c,00000000000e020c
14_2_11,10.14.2.11,3,00:00:00:0e:02:0b,00000000000e020b
14_2_10,10.14.2.10,3,00:00:00:0e:02:0a,00000000000e020a
21_7_5,10.21.7.5,3,00:00:00:15:07:05,0000000000150705
30_7_8,10.30.7.8,3,00:00:00:1e:07:08,00000000001e0708
30_7_9,10.30.7.9,3,00:00:00:1e:07:09,00000000001e0709
14_12_15,10.14.12.15,3,00:00:00:0e:0c:0f,00000000000e0c0f
14_12_14,10.14.12.14,3,00:00:00:0e:0c:0e,00000000000e0c0e
14_12_17,10.14.12.17,3,00:00:00:0e:0c:11,00000000000e0c11
14_12_16,10.14.12.16,3,00:00:00:0e:0c:10,00000000000e0c10
14_12_11,10.14.12.11,3,00:00:00:0e:0c:0b,00000000000e0c0b
14_12_10,10.14.12.10,3,00:00:00:0e:0c:0a,00000000000e0c0a
