id,layer,dpid
16_7_8,0,0000000000100708
16_8_2,0,0000000000100802
16_8_1,0,0000000000100801
16_8_7,0,0000000000100807
16_8_6,0,0000000000100806
16_8_5,0,0000000000100805
16_8_4,0,0000000000100804
16_7_1,0,0000000000100701
16_7_2,0,0000000000100702
16_7_3,0,0000000000100703
16_7_4,0,0000000000100704
16_7_5,0,0000000000100705
16_7_6,0,0000000000100706
16_7_7,0,0000000000100707
16_5_1,0,0000000000100501
16_5_8,0,0000000000100508
16_3_8,0,0000000000100308
16_8_8,0,0000000000100808
16_1_2,0,0000000000100102
16_1_3,0,0000000000100103
16_1_1,0,0000000000100101
16_1_6,0,0000000000100106
16_1_7,0,0000000000100107
16_1_4,0,0000000000100104
16_1_5,0,0000000000100105
16_1_8,0,0000000000100108
16_3_4,0,0000000000100304
16_3_5,0,0000000000100305
16_3_6,0,0000000000100306
16_3_7,0,0000000000100307
16_2_8,0,0000000000100208
16_3_2,0,0000000000100302
16_3_3,0,0000000000100303
16_2_5,0,0000000000100205
16_2_4,0,0000000000100204
16_2_7,0,0000000000100207
16_2_6,0,0000000000100206
16_2_1,0,0000000000100201
16_2_3,0,0000000000100203
16_2_2,0,0000000000100202
16_5_6,0,0000000000100506
16_5_7,0,0000000000100507
16_5_4,0,0000000000100504
16_5_5,0,0000000000100505
16_5_2,0,0000000000100502
16_5_3,0,0000000000100503
16_4_8,0,0000000000100408
16_4_7,0,0000000000100407
16_4_6,0,0000000000100406
16_4_5,0,0000000000100405
16_4_4,0,0000000000100404
16_4_3,0,0000000000100403
16_4_2,0,0000000000100402
16_4_1,0,0000000000100401
16_6_1,0,0000000000100601
16_6_3,0,0000000000100603
16_6_2,0,0000000000100602
16_6_5,0,0000000000100605
16_6_4,0,0000000000100604
16_6_7,0,0000000000100607
16_6_6,0,0000000000100606
16_8_3,0,0000000000100803
16_6_8,0,0000000000100608
16_3_1,0,0000000000100301
12_10_1,1,00000000000c0a01
13_8_1,1,00000000000d0801
11_13_1,1,00000000000b0d01
11_11_1,1,00000000000b0b01
4_9_1,1,0000000000040901
7_14_1,1,0000000000070e01
8_11_1,1,0000000000080b01
8_13_1,1,0000000000080d01
13_12_1,1,00000000000d0c01
15_13_1,1,00000000000f0d01
3_11_1,1,0000000000030b01
15_12_1,1,00000000000f0c01
9_11_1,1,0000000000090b01
4_12_1,1,0000000000040c01
11_8_1,1,00000000000b0801
6_12_1,1,0000000000060c01
10_12_1,1,00000000000a0c01
1_14_1,1,0000000000010e01
14_8_1,1,00000000000e0801
8_9_1,1,0000000000080901
4_14_1,1,0000000000040e01
6_10_1,1,0000000000060a01
10_14_1,1,00000000000a0e01
1_12_1,1,0000000000010c01
1_10_1,1,0000000000010a01
10_11_1,1,00000000000a0b01
9_9_1,1,0000000000090901
8_14_1,1,0000000000080e01
6_14_1,1,0000000000060e01
1_15_1,1,0000000000010f01
10_13_1,1,00000000000a0d01
11_15_1,1,00000000000b0f01
7_15_1,1,0000000000070f01
12_8_1,1,00000000000c0801
7_13_1,1,0000000000070d01
5_13_1,1,0000000000050d01
12_13_1,1,00000000000c0d01
4_8_1,1,0000000000040801
5_8_1,1,0000000000050801
11_10_1,1,00000000000b0a01
5_11_1,1,0000000000050b01
6_9_1,1,0000000000060901
5_15_1,1,0000000000050f01
4_10_1,1,0000000000040a01
15_15_1,1,00000000000f0f01
14_14_1,1,00000000000e0e01
1_13_1,1,0000000000010d01
10_15_1,1,00000000000a0f01
5_14_1,1,0000000000050e01
12_12_1,1,00000000000c0c01
2_15_1,1,0000000000020f01
2_8_1,1,0000000000020801
0_9_1,1,0000000000000901
2_13_1,1,0000000000020d01
2_11_1,1,0000000000020b01
11_14_1,1,00000000000b0e01
7_11_1,1,0000000000070b01
1_11_1,1,0000000000010b01
12_14_1,1,00000000000c0e01
9_8_1,1,0000000000090801
14_10_1,1,00000000000e0a01
14_12_1,1,00000000000e0c01
2_14_1,1,0000000000020e01
11_12_1,1,00000000000b0c01
6_11_1,1,0000000000060b01
7_12_1,1,0000000000070c01
5_12_1,1,0000000000050c01
0_14_1,1,0000000000000e01
5_10_1,1,0000000000050a01
3_8_1,1,0000000000030801
12_9_1,1,00000000000c0901
15_14_1,1,00000000000f0e01
6_8_1,1,0000000000060801
5_9_1,1,0000000000050901
