31.948	39.935	47.922	55.909	63.896
53.868	67.335	80.802	94.269	107.736
43.268	54.085	64.902	75.719	86.536
51.764	64.705	77.646	90.587	103.528
55.952	69.94	83.928	97.916	111.904
59.9	74.875	89.85	104.825	119.8
49.612	62.015	74.418	86.821	99.224
64.756	80.945	97.134	113.323	129.512
41.868	52.335	62.802	73.269	83.736
48.632	60.79	72.948	85.106	97.264
