1979.95898438	931.854003906	281.016113281	258.734863281	146.760009766	80.0390625	72.2849121094	
237.846923828	285.900146484	267.045166016	287.763671875	215.758789062	128.723876953	212.218017578	
356.946044922	72.9228515625	157.386962891	118.168212891	148.967041016	159.565917969	168.238769531	
163.369506836	115.921630859	110.918334961	125.68359375	105.297607422	139.279907227	128.8984375	
152.157633464	107.574707031	143.971761067	113.593098958	136.657633463	116.497965495	149.595703125	
169.262634278	96.4065551759	157.819580078	127.811645508	161.178710938	145.977416992	118.078796387	
167.690234375	124.441699219	148.539208984	155.420849609	146.00625	155.587939453	144.409033203	
158.887247721	104.248168945	127.598714193	169.083780924	107.331298828	151.354532878	95.8628336589	
136.669154576	128.638636998	125.865025112	141.199393136	119.889160156	159.60811942	181.87210519	
186.591796875	158.448272705	231.613739014	170.500640869	164.553100586	201.09072876	249.214904785	
