id,layer,dpid
4_1_1,0,0000000000040101
4_1_2,0,0000000000040102
4_2_2,0,0000000000040202
4_2_1,0,0000000000040201
3_3_1,1,0000000000030301
2_3_1,1,0000000000020301
1_2_1,1,0000000000010201
3_2_1,1,0000000000030201
0_2_1,1,0000000000000201
2_2_1,1,0000000000020201
1_3_1,1,0000000000010301
0_3_1,1,0000000000000301
0_0_1,2,0000000000000001
2_0_1,2,0000000000020001
1_1_1,2,0000000000010101
0_1_1,2,0000000000000101
3_1_1,2,0000000000030101
2_1_1,2,0000000000020101
1_0_1,2,0000000000010001
3_0_1,2,0000000000030001
