node1,node2,port1,port2
10_6_2,10_6_1,0,1
5_4_8,5_4_1,0,7
5_4_9,5_4_1,0,8
5_4_4,5_4_1,0,3
5_4_5,5_4_1,0,4
5_4_6,5_4_1,0,5
5_4_7,5_4_1,0,6
5_4_2,5_4_1,0,1
5_4_3,5_4_1,0,2
14_6_3,14_6_1,0,2
14_6_2,14_6_1,0,1
14_6_7,14_6_1,0,6
14_6_6,14_6_1,0,5
14_6_5,14_6_1,0,4
14_6_4,14_6_1,0,3
14_6_9,14_6_1,0,8
14_6_8,14_6_1,0,7
5_6_2,5_6_1,0,1
5_6_3,5_6_1,0,2
5_6_6,5_6_1,0,5
5_6_7,5_6_1,0,6
5_6_4,5_6_1,0,3
5_6_5,5_6_1,0,4
5_6_8,5_6_1,0,7
5_6_9,5_6_1,0,8
9_6_6,9_6_1,0,5
9_6_7,9_6_1,0,6
9_6_4,9_6_1,0,3
9_6_5,9_6_1,0,4
9_6_2,9_6_1,0,1
9_6_3,9_6_1,0,2
9_6_8,9_6_1,0,7
9_6_9,9_6_1,0,8
2_2_9,2_2_1,0,8
2_2_8,2_2_1,0,7
2_2_3,2_2_1,0,2
2_2_2,2_2_1,0,1
2_2_5,2_2_1,0,4
2_2_4,2_2_1,0,3
2_2_7,2_2_1,0,6
2_2_6,2_2_1,0,5
13_2_2,13_2_1,0,1
13_2_3,13_2_1,0,2
13_2_4,13_2_1,0,3
13_2_5,13_2_1,0,4
13_2_6,13_2_1,0,5
13_2_7,13_2_1,0,6
13_2_8,13_2_1,0,7
13_2_9,13_2_1,0,8
11_4_2,11_4_1,0,1
11_4_3,11_4_1,0,2
11_4_4,11_4_1,0,3
11_4_5,11_4_1,0,4
11_4_6,11_4_1,0,5
11_4_7,11_4_1,0,6
11_4_8,11_4_1,0,7
11_4_9,11_4_1,0,8
6_0_9,6_0_1,0,8
6_0_8,6_0_1,0,7
6_0_3,6_0_1,0,2
6_0_2,6_0_1,0,1
6_0_7,6_0_1,0,6
6_0_6,6_0_1,0,5
6_0_5,6_0_1,0,4
6_0_4,6_0_1,0,3
11_1_5,11_1_1,0,4
11_1_4,11_1_1,0,3
11_1_7,11_1_1,0,6
11_1_6,11_1_1,0,5
11_1_3,11_1_1,0,2
11_1_2,11_1_1,0,1
11_1_9,11_1_1,0,8
11_1_8,11_1_1,0,7
1_6_8,1_6_1,0,7
1_6_9,1_6_1,0,8
1_6_6,1_6_1,0,5
1_6_7,1_6_1,0,6
1_6_4,1_6_1,0,3
1_6_5,1_6_1,0,4
1_6_2,1_6_1,0,1
1_6_3,1_6_1,0,2
1_0_8,1_0_1,0,7
1_0_9,1_0_1,0,8
1_0_4,1_0_1,0,3
1_0_5,1_0_1,0,4
1_0_6,1_0_1,0,5
1_0_7,1_0_1,0,6
1_0_2,1_0_1,0,1
1_0_3,1_0_1,0,2
6_6_3,6_6_1,0,2
6_6_2,6_6_1,0,1
6_6_5,6_6_1,0,4
6_6_4,6_6_1,0,3
6_6_7,6_6_1,0,6
6_6_6,6_6_1,0,5
6_6_9,6_6_1,0,8
6_6_8,6_6_1,0,7
6_4_7,6_4_1,0,6
6_4_6,6_4_1,0,5
6_4_5,6_4_1,0,4
6_4_4,6_4_1,0,3
6_4_3,6_4_1,0,2
6_4_2,6_4_1,0,1
6_4_9,6_4_1,0,8
6_4_8,6_4_1,0,7
11_5_9,11_5_1,0,8
11_5_8,11_5_1,0,7
11_5_3,11_5_1,0,2
11_5_2,11_5_1,0,1
11_5_5,11_5_1,0,4
11_5_4,11_5_1,0,3
11_5_7,11_5_1,0,6
11_5_6,11_5_1,0,5
0_1_4,0_1_1,0,3
0_1_5,0_1_1,0,4
0_1_6,0_1_1,0,5
0_1_7,0_1_1,0,6
0_1_2,0_1_1,0,1
0_1_3,0_1_1,0,2
0_1_8,0_1_1,0,7
0_1_9,0_1_1,0,8
2_5_8,2_5_1,0,7
2_5_9,2_5_1,0,8
2_5_2,2_5_1,0,1
2_5_3,2_5_1,0,2
2_5_6,2_5_1,0,5
2_5_7,2_5_1,0,6
2_5_4,2_5_1,0,3
2_5_5,2_5_1,0,4
15_3_9,15_3_1,0,8
15_3_8,15_3_1,0,7
15_3_7,15_3_1,0,6
15_3_6,15_3_1,0,5
15_3_5,15_3_1,0,4
15_3_4,15_3_1,0,3
15_3_3,15_3_1,0,2
15_3_2,15_3_1,0,1
11_3_3,11_3_1,0,2
11_3_2,11_3_1,0,1
11_3_7,11_3_1,0,6
11_3_6,11_3_1,0,5
11_3_5,11_3_1,0,4
11_3_4,11_3_1,0,3
11_3_9,11_3_1,0,8
11_3_8,11_3_1,0,7
1_4_8,1_4_1,0,7
1_4_9,1_4_1,0,8
1_4_2,1_4_1,0,1
1_4_3,1_4_1,0,2
1_4_4,1_4_1,0,3
1_4_5,1_4_1,0,4
1_4_6,1_4_1,0,5
1_4_7,1_4_1,0,6
2_7_4,2_7_1,0,3
2_7_5,2_7_1,0,4
2_7_6,2_7_1,0,5
2_7_7,2_7_1,0,6
2_7_2,2_7_1,0,1
2_7_3,2_7_1,0,2
2_7_8,2_7_1,0,7
2_7_9,2_7_1,0,8
9_7_9,9_7_1,0,8
9_7_8,9_7_1,0,7
9_7_7,9_7_1,0,6
9_7_6,9_7_1,0,5
9_7_5,9_7_1,0,4
9_7_4,9_7_1,0,3
9_7_3,9_7_1,0,2
9_7_2,9_7_1,0,1
9_1_9,9_1_1,0,8
9_1_8,9_1_1,0,7
9_1_5,9_1_1,0,4
9_1_4,9_1_1,0,3
9_1_7,9_1_1,0,6
9_1_6,9_1_1,0,5
9_1_3,9_1_1,0,2
9_1_2,9_1_1,0,1
15_5_9,15_5_1,0,8
15_5_8,15_5_1,0,7
15_5_5,15_5_1,0,4
15_5_4,15_5_1,0,3
15_5_7,15_5_1,0,6
15_5_6,15_5_1,0,5
15_5_3,15_5_1,0,2
15_5_2,15_5_1,0,1
13_5_3,13_5_1,0,2
13_5_2,13_5_1,0,1
13_5_7,13_5_1,0,6
13_5_6,13_5_1,0,5
13_5_5,13_5_1,0,4
13_5_4,13_5_1,0,3
13_5_9,13_5_1,0,8
13_5_8,13_5_1,0,7
7_4_6,7_4_1,0,5
7_4_7,7_4_1,0,6
7_4_4,7_4_1,0,3
7_4_5,7_4_1,0,4
7_4_2,7_4_1,0,1
7_4_3,7_4_1,0,2
7_4_8,7_4_1,0,7
7_4_9,7_4_1,0,8
13_7_5,13_7_1,0,4
13_7_4,13_7_1,0,3
13_7_7,13_7_1,0,6
13_7_6,13_7_1,0,5
13_7_3,13_7_1,0,2
13_7_2,13_7_1,0,1
13_7_9,13_7_1,0,8
13_7_8,13_7_1,0,7
1_3_9,1_3_1,0,8
1_3_8,1_3_1,0,7
1_3_3,1_3_1,0,2
1_3_2,1_3_1,0,1
1_3_7,1_3_1,0,6
1_3_6,1_3_1,0,5
1_3_5,1_3_1,0,4
1_3_4,1_3_1,0,3
13_0_8,13_0_1,0,7
13_0_9,13_0_1,0,8
13_0_6,13_0_1,0,5
13_0_7,13_0_1,0,6
13_0_4,13_0_1,0,3
13_0_5,13_0_1,0,4
13_0_2,13_0_1,0,1
13_0_3,13_0_1,0,2
14_0_9,14_0_1,0,8
14_0_8,14_0_1,0,7
14_0_3,14_0_1,0,2
14_0_2,14_0_1,0,1
14_0_5,14_0_1,0,4
14_0_4,14_0_1,0,3
14_0_7,14_0_1,0,6
14_0_6,14_0_1,0,5
14_7_8,14_7_1,0,7
14_7_9,14_7_1,0,8
14_7_2,14_7_1,0,1
14_7_3,14_7_1,0,2
14_7_6,14_7_1,0,5
14_7_7,14_7_1,0,6
14_7_4,14_7_1,0,3
14_7_5,14_7_1,0,4
7_2_4,7_2_1,0,3
7_2_5,7_2_1,0,4
7_2_6,7_2_1,0,5
7_2_7,7_2_1,0,6
7_2_2,7_2_1,0,1
7_2_3,7_2_1,0,2
7_2_8,7_2_1,0,7
7_2_9,7_2_1,0,8
6_3_8,6_3_1,0,7
6_3_9,6_3_1,0,8
6_3_4,6_3_1,0,3
6_3_5,6_3_1,0,4
6_3_6,6_3_1,0,5
6_3_7,6_3_1,0,6
6_3_2,6_3_1,0,1
6_3_3,6_3_1,0,2
6_1_2,6_1_1,0,1
6_1_3,6_1_1,0,2
6_1_6,6_1_1,0,5
6_1_7,6_1_1,0,6
6_1_4,6_1_1,0,3
6_1_5,6_1_1,0,4
6_1_8,6_1_1,0,7
6_1_9,6_1_1,0,8
9_5_9,9_5_1,0,8
9_5_8,9_5_1,0,7
9_5_3,9_5_1,0,2
9_5_2,9_5_1,0,1
9_5_5,9_5_1,0,4
9_5_4,9_5_1,0,3
9_5_7,9_5_1,0,6
9_5_6,9_5_1,0,5
15_0_8,15_0_1,0,7
15_0_9,15_0_1,0,8
15_0_2,15_0_1,0,1
15_0_3,15_0_1,0,2
15_0_4,15_0_1,0,3
15_0_5,15_0_1,0,4
15_0_6,15_0_1,0,5
15_0_7,15_0_1,0,6
8_1_8,8_1_1,0,7
8_1_9,8_1_1,0,8
8_1_4,8_1_1,0,3
8_1_5,8_1_1,0,4
8_1_6,8_1_1,0,5
8_1_7,8_1_1,0,6
8_1_2,8_1_1,0,1
8_1_3,8_1_1,0,2
13_3_9,13_3_1,0,8
13_3_8,13_3_1,0,7
13_3_3,13_3_1,0,2
13_3_2,13_3_1,0,1
13_3_5,13_3_1,0,4
13_3_4,13_3_1,0,3
13_3_7,13_3_1,0,6
13_3_6,13_3_1,0,5
11_2_8,11_2_1,0,7
11_2_9,11_2_1,0,8
11_2_2,11_2_1,0,1
11_2_3,11_2_1,0,2
11_2_6,11_2_1,0,5
11_2_7,11_2_1,0,6
11_2_4,11_2_1,0,3
11_2_5,11_2_1,0,4
11_0_8,11_0_1,0,7
11_0_9,11_0_1,0,8
11_0_4,11_0_1,0,3
11_0_5,11_0_1,0,4
11_0_6,11_0_1,0,5
11_0_7,11_0_1,0,6
11_0_2,11_0_1,0,1
11_0_3,11_0_1,0,2
6_7_8,6_7_1,0,7
6_7_9,6_7_1,0,8
6_7_2,6_7_1,0,1
6_7_3,6_7_1,0,2
6_7_4,6_7_1,0,3
6_7_5,6_7_1,0,4
6_7_6,6_7_1,0,5
6_7_7,6_7_1,0,6
6_5_8,6_5_1,0,7
6_5_9,6_5_1,0,8
6_5_6,6_5_1,0,5
6_5_7,6_5_1,0,6
6_5_4,6_5_1,0,3
6_5_5,6_5_1,0,4
6_5_2,6_5_1,0,1
6_5_3,6_5_1,0,2
12_1_6,12_1_1,0,5
12_1_7,12_1_1,0,6
12_1_4,12_1_1,0,3
