node1,node2,port1,port2
14_1_1,14_11_1,12,2
14_6_1,14_11_1,12,7
14_2_1,14_11_1,12,3
16_4_8,14_11_1,15,16
16_4_6,14_11_1,15,14
16_4_5,14_11_1,15,13
16_4_4,14_11_1,15,12
16_4_3,14_11_1,15,11
14_5_1,14_11_1,12,6
16_4_1,14_11_1,15,9
16_4_2,14_11_1,15,10
16_4_7,14_11_1,15,15
14_4_1,14_11_1,12,5
14_7_1,14_11_1,12,8
14_3_1,14_11_1,12,4
11_1_1,11_13_1,14,2
16_6_7,11_13_1,12,15
11_2_1,11_13_1,14,3
16_6_3,11_13_1,12,11
11_6_1,11_13_1,14,7
16_6_1,11_13_1,12,9
11_4_1,11_13_1,14,5
11_3_1,11_13_1,14,4
16_6_2,11_13_1,12,10
16_6_5,11_13_1,12,13
16_6_4,11_13_1,12,12
11_7_1,11_13_1,14,8
16_6_6,11_13_1,12,14
11_5_1,11_13_1,14,6
16_6_8,11_13_1,12,16
16_4_4,11_11_1,12,12
11_1_1,11_11_1,12,2
16_4_8,11_11_1,12,16
16_4_7,11_11_1,12,15
16_4_6,11_11_1,12,14
16_4_5,11_11_1,12,13
11_2_1,11_11_1,12,3
16_4_3,11_11_1,12,11
16_4_2,11_11_1,12,10
16_4_1,11_11_1,12,9
11_6_1,11_11_1,12,7
11_4_1,11_11_1,12,5
11_3_1,11_11_1,12,4
11_7_1,11_11_1,12,8
11_5_1,11_11_1,12,6
16_2_4,15_9_1,16,12
16_2_8,15_9_1,16,16
16_2_3,15_9_1,16,11
16_2_5,15_9_1,16,13
16_2_6,15_9_1,16,14
16_2_1,15_9_1,16,9
16_2_7,15_9_1,16,15
16_2_2,15_9_1,16,10
16_5_6,13_12_1,14,14
13_2_1,13_12_1,13,3
13_5_1,13_12_1,13,6
16_5_5,13_12_1,14,13
16_5_2,13_12_1,14,10
16_5_3,13_12_1,14,11
13_1_1,13_12_1,13,2
16_5_1,13_12_1,14,9
13_3_1,13_12_1,13,4
13_6_1,13_12_1,13,7
16_5_8,13_12_1,14,16
13_7_1,13_12_1,13,8
13_4_1,13_12_1,13,5
16_5_7,13_12_1,14,15
16_5_4,13_12_1,14,12
14_5_1,14_8_1,9,6
14_5_1,14_9_1,10,6
13_1_1,13_8_1,9,2
13_1_1,13_9_1,10,2
8_2_1,8_8_1,9,3
8_2_1,8_9_1,10,3
15_1_1,15_12_1,13,2
16_5_6,15_12_1,16,14
