id,layer,dpid
32_4_9,0,0000000000200409
32_10_15,0,0000000000200a0f
32_10_14,0,0000000000200a0e
32_10_13,0,0000000000200a0d
32_10_12,0,0000000000200a0c
32_10_11,0,0000000000200a0b
32_4_8,0,0000000000200408
32_16_15,0,000000000020100f
32_13_14,0,0000000000200d0e
32_14_16,0,0000000000200e10
32_6_16,0,0000000000200610
32_6_15,0,000000000020060f
32_6_14,0,000000000020060e
32_6_13,0,000000000020060d
32_6_12,0,000000000020060c
32_6_11,0,000000000020060b
32_6_10,0,000000000020060a
32_7_14,0,000000000020070e
32_7_15,0,000000000020070f
32_7_16,0,0000000000200710
32_11_13,0,0000000000200b0d
32_7_10,0,000000000020070a
32_7_11,0,000000000020070b
32_7_12,0,000000000020070c
32_7_13,0,000000000020070d
32_10_8,0,0000000000200a08
32_13_10,0,0000000000200d0a
32_16_14,0,000000000020100e
32_10_10,0,0000000000200a0a
32_13_11,0,0000000000200d0b
32_9_16,0,0000000000200910
32_2_13,0,000000000020020d
32_2_12,0,000000000020020c
32_2_11,0,000000000020020b
32_2_10,0,000000000020020a
32_2_16,0,0000000000200210
32_2_15,0,000000000020020f
32_2_14,0,000000000020020e
32_12_5,0,0000000000200c05
32_4_2,0,0000000000200402
32_12_4,0,0000000000200c04
32_9_12,0,000000000020090c
32_12_7,0,0000000000200c07
32_9_13,0,000000000020090d
32_10_3,0,0000000000200a03
32_10_2,0,0000000000200a02
32_10_1,0,0000000000200a01
32_12_6,0,0000000000200c06
32_10_7,0,0000000000200a07
32_9_10,0,000000000020090a
32_10_5,0,0000000000200a05
32_10_4,0,0000000000200a04
32_12_1,0,0000000000200c01
32_10_9,0,0000000000200a09
32_9_11,0,000000000020090b
32_16_10,0,000000000020100a
32_5_12,0,000000000020050c
32_5_13,0,000000000020050d
32_5_10,0,000000000020050a
32_5_11,0,000000000020050b
32_5_16,0,0000000000200510
32_12_3,0,0000000000200c03
32_5_14,0,000000000020050e
32_5_15,0,000000000020050f
32_12_2,0,0000000000200c02
32_12_9,0,0000000000200c09
32_12_8,0,0000000000200c08
32_14_11,0,0000000000200e0b
32_14_7,0,0000000000200e07
32_14_6,0,0000000000200e06
32_14_5,0,0000000000200e05
32_14_4,0,0000000000200e04
32_14_3,0,0000000000200e03
32_14_2,0,0000000000200e02
32_14_1,0,0000000000200e01
32_14_9,0,0000000000200e09
32_14_8,0,0000000000200e08
32_16_11,0,000000000020100b
32_3_8,0,0000000000200308
32_3_9,0,0000000000200309
32_4_15,0,000000000020040f
32_4_14,0,000000000020040e
32_3_1,0,0000000000200301
32_3_6,0,0000000000200306
32_3_7,0,0000000000200307
32_3_4,0,0000000000200304
32_3_5,0,0000000000200305
32_10_16,0,0000000000200a10
32_15_16,0,0000000000200f10
32_1_16,0,0000000000200110
32_13_16,0,0000000000200d10
32_1_14,0,000000000020010e
32_1_15,0,000000000020010f
32_1_12,0,000000000020010c
32_1_13,0,000000000020010d
32_1_10,0,000000000020010a
32_1_11,0,000000000020010b
32_8_11,0,000000000020080b
32_8_10,0,000000000020080a
32_8_13,0,000000000020080d
32_8_12,0,000000000020080c
32_8_15,0,000000000020080f
32_8_14,0,000000000020080e
32_8_16,0,0000000000200810
32_9_4,0,0000000000200904
32_9_5,0,0000000000200905
32_9_6,0,0000000000200906
32_9_7,0,0000000000200907
32_15_14,0,0000000000200f0e
32_9_1,0,0000000000200901
32_9_2,0,0000000000200902
32_9_3,0,0000000000200903
32_11_2,0,0000000000200b02
32_11_3,0,0000000000200b03
32_16_3,0,0000000000201003
32_11_1,0,0000000000200b01
32_9_8,0,0000000000200908
32_9_9,0,0000000000200909
32_11_4,0,0000000000200b04
32_11_5,0,0000000000200b05
32_15_10,0,0000000000200f0a
32_13_8,0,0000000000200d08
32_13_9,0,0000000000200d09
32_14_15,0,0000000000200e0f
32_13_4,0,0000000000200d04
32_13_5,0,0000000000200d05
32_4_3,0,0000000000200403
32_13_7,0,0000000000200d07
32_11_8,0,0000000000200b08
32_13_2,0,0000000000200d02
32_13_3,0,0000000000200d03
32_16_4,0,0000000000201004
32_11_9,0,0000000000200b09
32_15_8,0,0000000000200f08
32_15_9,0,0000000000200f09
32_15_6,0,0000000000200f06
32_15_7,0,0000000000200f07
32_15_4,0,0000000000200f04
32_15_5,0,0000000000200f05
32_15_2,0,0000000000200f02
32_15_3,0,0000000000200f03
32_15_1,0,0000000000200f01
32_2_3,0,0000000000200203
32_2_2,0,0000000000200202
32_2_1,0,0000000000200201
32_13_15,0,0000000000200d0f
32_2_7,0,0000000000200207
32_2_6,0,0000000000200206
32_2_5,0,0000000000200205
32_2_4,0,0000000000200204
32_4_1,0,0000000000200401
32_2_9,0,0000000000200209
32_2_8,0,0000000000200208
32_4_5,0,0000000000200405
32_4_4,0,0000000000200404
32_4_7,0,0000000000200407
32_4_6,0,0000000000200406
32_16_1,0,0000000000201001
32_16_2,0,0000000000201002
32_15_12,0,0000000000200f0c
32_3_10,0,000000000020030a
32_3_11,0,000000000020030b
32_3_12,0,000000000020030c
32_3_13,0,000000000020030d
32_3_14,0,000000000020030e
32_3_15,0,000000000020030f
32_3_16,0,0000000000200310
32_11_6,0,0000000000200b06
32_9_14,0,000000000020090e
32_11_7,0,0000000000200b07
32_14_12,0,0000000000200e0c
32_11_15,0,0000000000200b0f
32_16_7,0,0000000000201007
32_16_16,0,0000000000201010
32_16_6,0,0000000000201006
32_16_5,0,0000000000201005
32_9_15,0,000000000020090f
32_15_13,0,0000000000200f0d
32_8_9,0,0000000000200809
32_8_8,0,0000000000200808
32_8_5,0,0000000000200805
32_8_4,0,0000000000200804
32_8_7,0,0000000000200807
32_8_6,0,0000000000200806
32_8_1,0,0000000000200801
32_8_3,0,0000000000200803
32_8_2,0,0000000000200802
32_6_7,0,0000000000200607
32_6_6,0,0000000000200606
32_6_5,0,0000000000200605
32_6_4,0,0000000000200604
32_6_3,0,0000000000200603
32_6_2,0,0000000000200602
32_6_1,0,0000000000200601
32_16_9,0,0000000000201009
32_6_9,0,0000000000200609
32_6_8,0,0000000000200608
32_13_6,0,0000000000200d06
32_10_6,0,0000000000200a06
32_5_1,0,0000000000200501
32_5_2,0,0000000000200502
32_5_3,0,0000000000200503
32_5_4,0,0000000000200504
32_5_5,0,0000000000200505
32_5_6,0,0000000000200506
32_5_7,0,0000000000200507
32_5_8,0,0000000000200508
32_5_9,0,0000000000200509
32_16_8,0,0000000000201008
32_16_12,0,000000000020100c
32_13_1,0,0000000000200d01
32_3_2,0,0000000000200302
32_3_3,0,0000000000200303
32_4_16,0,0000000000200410
32_11_14,0,0000000000200b0e
32_4_11,0,000000000020040b
32_11_16,0,0000000000200b10
32_14_10,0,0000000000200e0a
32_11_10,0,0000000000200b0a
32_11_11,0,0000000000200b0b
32_11_12,0,0000000000200b0c
32_4_10,0,000000000020040a
32_4_13,0,000000000020040d
32_4_12,0,000000000020040c
32_14_14,0,0000000000200e0e
32_15_15,0,0000000000200f0f
32_12_11,0,0000000000200c0b
32_12_10,0,0000000000200c0a
32_12_13,0,0000000000200c0d
32_12_12,0,0000000000200c0c
32_12_15,0,0000000000200c0f
32_12_14,0,0000000000200c0e
32_13_12,0,0000000000200d0c
32_12_16,0,0000000000200c10
