node1,node2,port1,port2
6_3_1,6_6_1,7,4
6_3_1,6_4_1,5,4
6_3_1,6_7_1,8,4
6_3_1,6_5_1,6,4
6_1_1,6_6_1,7,2
6_1_1,6_7_1,8,2
6_1_1,6_4_1,5,2
6_1_1,6_5_1,6,2
5_0_1,5_7_1,8,1
5_0_1,5_6_1,7,1
5_0_1,5_4_1,5,1
5_0_1,5_5_1,6,1
1_2_1,1_7_1,8,3
1_2_1,1_6_1,7,3
1_2_1,1_5_1,6,3
1_2_1,1_4_1,5,3
8_2_3,0_5_1,1,7
8_2_2,0_5_1,1,6
8_2_1,0_5_1,1,5
8_2_4,0_5_1,1,8
8_3_2,0_6_1,1,6
8_3_3,0_6_1,1,7
8_3_1,0_6_1,1,5
8_3_4,0_6_1,1,8
3_0_1,3_7_1,8,1
3_0_1,3_5_1,6,1
3_0_1,3_6_1,7,1
3_0_1,3_4_1,5,1
8_1_4,5_4_1,6,8
8_1_1,5_4_1,6,5
8_1_2,5_4_1,6,6
8_1_3,5_4_1,6,7
8_4_1,4_7_1,5,5
8_4_3,4_7_1,5,7
8_4_2,4_7_1,5,6
8_4_4,4_7_1,5,8
8_4_1,6_7_1,7,5
8_4_3,6_7_1,7,7
8_4_2,6_7_1,7,6
8_4_4,6_7_1,7,8
8_2_3,6_5_1,7,7
8_2_2,6_5_1,7,6
8_2_1,6_5_1,7,5
8_2_4,6_5_1,7,8
8_3_2,5_6_1,6,6
8_3_3,5_6_1,6,7
8_3_1,5_6_1,6,5
8_3_4,5_6_1,6,8
6_2_1,6_7_1,8,3
6_2_1,6_4_1,5,3
6_2_1,6_6_1,7,3
6_2_1,6_5_1,6,3
8_2_3,3_5_1,4,7
8_2_2,3_5_1,4,6
8_2_1,3_5_1,4,5
8_2_4,3_5_1,4,8
5_1_1,5_6_1,7,2
5_1_1,5_5_1,6,2
5_1_1,5_7_1,8,2
5_1_1,5_4_1,5,2
4_1_1,4_4_1,5,2
4_1_1,4_6_1,7,2
4_1_1,4_7_1,8,2
4_1_1,4_5_1,6,2
2_2_1,2_4_1,5,3
2_2_1,2_7_1,8,3
2_2_1,2_6_1,7,3
2_2_1,2_5_1,6,3
4_3_1,4_4_1,5,4
4_3_1,4_6_1,7,4
4_3_1,4_5_1,6,4
4_3_1,4_7_1,8,4
6_0_1,6_6_1,7,1
6_0_1,6_4_1,5,1
6_0_1,6_7_1,8,1
6_0_1,6_5_1,6,1
8_2_2,5_5_1,6,6
8_2_3,5_5_1,6,7
8_2_1,5_5_1,6,5
8_2_4,5_5_1,6,8
8_2_3,4_5_1,5,7
